date,review,rating,isEdited,title,userName
04-10-2017 15:47,Ultimate app ..Easy to use Paytm is very very easy to use ..Any person of any age can use Paytm very easily .I am working with bank I try to Give the demo to every person of Paytm specially for senior Citizens .Recently I download app in phone of one of my customer Mr C.R sharma (senior citizen) His son is living in abroad .When first time he paid his Mobile Bill from Paytm that time he feel very very 😊 and Every time he give me blessing for same he told Now he pay his all bills from Paytm instead of time consuming long queues ..He told he also download the Paytm in his wife and Friends Mobile and Teach them abt Paytm ...Thanx to Paytm Team for this easy and ultimate app.,5,FALSE,PAYTM APP IS GOD GIFT FOR HUMAN Beings....👍🏻👍🏻👍🏻👍🏻👍🏻,Vik1582
22-11-2017 17:11,"Paytm has been a trusted payments app all these years. Having developed to this day with add-on’s like Paytm Mall and Bank, Paytm surely has built a base to notch the finance market among all its competitors. Coming to the promotions, Paytm shows more interest in its new customers so as to attract them, just hoped it was a bit more loyal to its tenured ones. Other than the promo codes which is allowed once per user, or to the codes for new users, Paytm has to show some interest and invest on its promo codes for the customers who have been with the company since the very beginning. The lucky draws doesn’t seem to be lucky enough for the customers. Hoping for some interesting cashbacks in the mere future.",4,FALSE,Trusted Payments App,iamalap
20-10-2017 09:40,"Guys, please don’t book bus tickets through paytm if u don’t wanna get cheated. On October 18,I booked bus ticket through my brother’s paytm from bangalore to cochin. I got the ticket confirmation message but it was a fake one and I lost my money.I got cheated as their booking process was not proper and I couldn’t travel and was stuck in the street at 11:45 pm. I had no where to go as I checked out from the hotel on same day evening. And the worst part happened was when I called the paytm customer service.                   Their customer service is the worst one in universe. When I asked for help they told me that they have forwarded my complaint to the next department and I’ll get feedback within 24 hrs. Till now I haven’t got any messages or phone calls from their side. They assured me that my money will be refunded and that didn’t happen too.",1,FALSE,Worst service in the universe,Sreeprakash C J
17-10-2017 04:01,"I just got addicted to paytm, cant even think of not using it for a day cos everyone now has the app, i love the offers and the discounts i get using the app, wish to see them growing and offering more and more discounts for the customers, a day without paytm is just like a day without meal, paytm wallet helps me to just pay my bills easily and it is so convienience that from months i have never missed a single bill, happy to have paytm in all my phones, i recomend paytm to all my friends and family , i love paytm 😊 and i m happy to be called as ""paytmer "" by my frnds ❤️",5,FALSE,Addicted to paytm,Diza@123
11-11-2017 15:06,"Although the app does what it’s supposed to do, it just isn’t a well optimised app.

Some places that need attention are:
1) Speed.
Transitions between different sections of the app is quite slow and jittery.

2) Interface.
The interface is just not intuitive enough. Maybe some reorganisation of sections and some hierarchy in menus would be nice.

3) Aesthetics.
Although the recent version are much better than what Paytm looked like before, it still doesn’t look quite as well as other apps. It would be nice if you could give an overhaul to how the interface looks and make it cleaner. Especially the payment processing/completion page. You can make it look much cleaner by clearing up the unnecessary text and putting an emphasis on the “Success” or “Processing” status (because that’s what we really care about in that page!).

Otherwise, it’s a good app and does the work pretty well. :)",5,FALSE,Works good - feels bad,iamAnkitRoy
25-09-2017 14:36,"I am using Paytm since 2012, never seen any problem with recharge, shopping or ordering any mobile or electronics. But now by mistake I have booked an iPhone6 which is on non return policy obviously it has been ordered un-intentionally, I have not read the terms and now Paytm is not accepting return or replace to other color, not even seller contact is not visible so that I could request him directly to change the colour even. Worst experience ever with Paytm, return or exchange policy should be there online.",5,FALSE,Love it....! No doubt but facing a problem these days,Rawal Saab
28-12-2017 06:06,"Hi Team,

The recently launched new UI is far from exceptional and a lot of things can be done to make it more intuitive and efficient.

On the make payment screen:
- it took me a while a find the place where I can enter the amount 
- type your message is so small that it didn’t even catch my attention 

These 2 are the most important CTAs on this page and these are so subtle in the new design that I believe most of the users will not be able to use this. It’s only when I clicked “proceed to pay”, then I realised that I’ve not filled the amount itself.

Previous design with lots of white space was way better.
In case you want to stay with this design, please enable a blinking cursor on the amount placeholder and make the number keyboard open by default.

Keep innovating but do keep users in mind too.",5,FALSE,New UI Not Good,Akash Deep Goldy
20-09-2017 19:28,"I am so happy with this application with its amazing features, fulfilling to all the daily routine needs in terms of financial transactions. Now our accounts is done over Paytm. It is great to see all the integrated platforms like mobile recharge, petrol stations, groceries and amazing part is we can send the money to bank with just 2% deduction which is quite reasonable. Offers and cashbacks are bonus which attracts a user. I would say the best platform to make India - Digital India.",5,FALSE,Amazing application,Gagan_777
14-10-2017 09:44,"I called u guys I have spend more than 150 rupee balance while calling u I want my cash back or else m going to consumer court... the guy told me u will not get cash back 100% wen it’s written there he is telling me on call that you have not applied promocode so I told him there is no promocode it was offer from 5-7 oct 100% cash back and you people scammed me I have all recordings with me and screen shots,
I ordered more than 10 products as ur policy and i have not recieved cash back am gonna complaint about it that you people are doing fake things when there is no promocode to apply so how can your executive is saying you hvnt applied promocode see it nicely its offer from 3 to 5 th october sale",1,FALSE,I got scammed,9717086632
02-11-2017 14:48,"The app is user-friendly and quite good in all aspects but recently I recharged only once for my Airtel prepaid and the money got deducted twice when I had enquired the same with Paytm they told me to cooperate with the Airtel, in fact the problem was with Paytm because without the consent of Paytm Airtel cannot take the money. Don’t you think it’s the new way of cheating people by Paytm? Anyways I did not get the money back even from Airtel also. Paytm please don’t cheat people like this",5,FALSE,Cheating app,Don Prashanth
